sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
22734,673,901,786,1161,2206,2738,3528,2768,1504,1172,Roshan
22735,741,1032,913,1254,2492,2974,3200,3049,1577,1129,Roshan
22736,731,972,908,1390,2268,2613,3196,2779,1801,1490,Roshan
22737,656,885,730,1061,2553,3186,3278,3186,1409,944,Roshan
22738,880,1070,1184,1368,2198,2522,2424,2604,1819,1528,Roshan
22739,732,932,875,1431,2254,2684,3242,2687,1729,1425,Roshan
22740,735,946,869,1335,2410,2715,3684,2837,1724,1485,Roshan
22741,677,877,741,1148,2724,3529,3780,3596,1556,1021,Roshan
22742,732,932,875,1431,2254,2684,3242,2687,1729,1425,Roshan
22743,724,1014,946,1368,2198,2522,2746,2604,1819,1528,Roshan
22744,690,880,738,1099,2750,3544,3830,3563,1529,1024,Roshan
22745,698,940,827,1223,2422,2880,3200,2897,1547,1103,Roshan
22746,710,985,928,1399,2432,2886,3516,2810,1770,1482,Roshan
22747,832,1021,1048,1295,2233,2698,2676,2779,1582,1094,Roshan
22748,955,1192,1322,1395,2312,2674,2520,2697,1784,1509,Roshan
22749,924,1198,1342,1409,2271,2702,2536,2775,1718,1437,Roshan
22750,716,949,884,1295,2233,2698,2956,2779,1582,1094,Roshan
22751,999,1228,1382,1431,2254,2684,2542,2687,1729,1425,Roshan
22752,725,1004,1002,1390,2268,2613,3254,2779,1801,1490,Roshan
22753,823,1050,1026,1286,2379,2754,2808,3027,1661,1194,Roshan
22754,728,968,876,1286,2379,2754,3488,3027,1661,1194,Roshan
22755,692,871,753,1119,2715,3369,3782,3451,1538,1013,Roshan
22756,643,893,714,1119,2715,3369,3748,3451,1538,1013,Roshan
22757,678,883,749,1268,2584,3187,3608,3211,1623,1107,Roshan
22758,631,883,731,1099,2750,3544,3816,3563,1529,1024,Roshan
22759,710,985,928,1399,2432,2886,3516,2810,1770,1482,Roshan
22760,639,869,744,1109,2557,3208,3444,3292,1389,890,Roshan
22761,695,891,800,1268,2584,3187,3384,3211,1623,1107,Roshan
22762,659,890,721,1128,2772,3437,3830,3551,1495,967,Roshan
22763,715,939,909,1295,2233,2698,2956,2779,1582,1094,Roshan
22764,758,1052,1001,1268,2584,3187,3006,3211,1623,1107,Roshan
22765,679,861,739,1148,2724,3529,3820,3596,1556,1021,Roshan
22766,703,943,880,1186,2445,2903,3054,2901,1559,1095,Roshan
22767,661,871,699,1148,2724,3529,3760,3596,1556,1021,Roshan
22768,678,883,749,1268,2584,3187,3608,3211,1623,1107,Roshan
22769,840,1142,1104,1618,2257,2506,3144,2578,1772,1425,Roshan
22770,740,954,879,1399,2432,2886,3536,2810,1770,1482,Roshan
22771,736,924,955,1072,2615,3379,3098,3426,1761,1068,Roshan
22772,630,763,601,943,2341,2896,3386,3194,1383,846,Roshan
22773,914,1174,1494,1649,2279,2557,2832,3011,2621,1886,Roshan
22774,568,713,531,850,2739,3688,3728,3964,1407,725,Roshan
22775,641,799,615,1140,2417,3233,4068,3246,1651,1171,Roshan
22776,630,763,601,943,2341,2896,3386,3194,1383,846,Roshan
22777,594,705,510,850,2739,3688,4052,3964,1407,725,Roshan
22778,712,847,747,1102,2053,2585,3220,2570,1731,1329,Roshan
22779,613,793,692,1114,2394,2855,3636,3258,1609,1077,Roshan
22780,639,788,658,1133,2418,3070,3536,3009,1730,1207,Roshan
22781,588,706,521,897,2626,3706,4052,3731,1352,734,Roshan
22782,568,772,664,1138,2233,2933,3648,2948,1526,1101,Roshan
22783,569,698,521,897,2626,3706,3812,3731,1352,734,Roshan
22784,990,1230,1434,1408,2187,2491,2196,2629,1824,1507,Roshan
22785,636,762,618,1123,2255,2949,3648,2981,1570,1120,Roshan
22786,583,734,546,936,2529,3324,3516,3437,1451,810,Roshan
22787,601,738,528,963,2899,4007,4388,4123,1587,901,Roshan
22788,601,774,643,1234,2666,3511,4252,3616,2106,1328,Roshan
22789,676,801,714,1027,2582,3228,3638,3624,1678,1046,Roshan
22790,801,1005,1023,1138,2233,2933,2462,2948,1526,1101,Roshan
22791,811,1007,1001,1140,2417,3233,2824,3246,1651,1171,Roshan
22792,579,726,521,896,2626,3463,3696,3676,1413,739,Roshan
22793,572,736,608,952,2572,3444,3616,3792,1652,960,Roshan
22794,596,708,521,850,2739,3688,4082,3964,1407,725,Roshan
22795,763,965,1086,1234,2666,3511,3256,3616,2106,1328,Roshan
22796,700,834,808,1199,1775,2168,2986,2288,1751,1509,Roshan
22797,592,763,609,936,2529,3324,3426,3437,1451,810,Roshan
22798,845,1072,1264,1271,2097,2815,2318,2777,1967,1323,Roshan
22799,601,818,670,1208,2702,3247,3652,3293,1841,1263,Roshan
22800,601,757,532,991,2981,4217,4408,4325,1658,900,Roshan
22801,642,741,601,1128,2539,3314,4188,3365,1648,1110,Roshan
22802,644,847,794,1208,2702,3247,3658,3293,1841,1263,Roshan
22803,612,775,619,1133,2249,2673,3560,2992,1599,1140,Roshan
22804,596,737,550,991,2981,4217,4444,4325,1658,900,Roshan
22805,636,762,618,1123,2255,2949,3648,2981,1570,1120,Roshan
22806,648,784,633,1140,2417,3233,4176,3246,1651,1171,Roshan
22807,551,708,530,850,2739,3688,3752,3964,1407,725,Roshan
22808,579,726,521,896,2626,3463,3696,3676,1413,739,Roshan
22809,607,753,555,960,2937,3895,4288,4372,1612,891,Roshan
22810,777,1007,1122,1234,2666,3511,3330,3616,2106,1328,Roshan
22811,602,762,575,1027,2582,3228,3874,3624,1678,1046,Roshan
